ts,k,cell,gen_tokens,tok_s,acc_pct,tau,ms_step,pos_acc_pct_profile
2026-08-06T12:04Z,24,struct-csv-1024+triton,1024,180.2,40.9,9.82,59.8,94/82/72/69/67/64/62/61/60/55/45/42/38/27/21/18/15/14/13/13/13/13/13/13
2026-08-06T12:14Z,16,prose-think-1024+triton,1024,251.5,75.9,12.14,52.2,97/95/95/94/94/94/94/90/90/77/77/67/59/55/19/19
2026-08-06T12:15Z,16,prose-nothink-1024+triton,1024,50.9,9.1,1.45,48.1,70/39/18/10/4/3/1/0/0/0/0/0/0/0/0/0
2026-08-06T12:15Z,16,math-think-2048+triton,1139,128.6,34.2,5.48,50.3,88/79/70/59/48/41/36/28/23/18/14/12/10/7/7/6
2026-08-06T12:15Z,16,math-nothink-1024+triton,640,131.1,34.2,5.47,49.3,89/77/71/56/47/42/40/31/26/19/14/11/8/5/5/5
2026-08-06T12:15Z,16,code-nothink-1024+triton,1024,108.3,27.7,4.43,49.7,84/71/58/49/43/35/27/21/15/11/7/6/5/5/4/3
2026-08-06T12:15Z,16,code-think-2048+triton,2048,76.5,19.5,3.13,54.0,79/61/45/33/26/20/15/10/8/5/4/2/2/1/1/0
2026-08-06T12:21Z,10,prose-think-1024+triton,1024,202.7,93.0,9.30,50.5,98/96/96/95/95/95/95/90/90/80
2026-08-06T12:22Z,10,prose-nothink-1024+triton,1024,63.2,13.6,1.36,37.2,69/37/18/7/3/2/1/0/0/0
2026-08-06T12:22Z,10,math-think-2048+triton,1852,146.6,50.8,5.08,41.4,92/84/74/63/51/42/35/28/22/18
2026-08-06T12:22Z,10,math-nothink-1024+triton,666,161.6,48.5,4.85,36.1,89/79/69/59/50/41/35/28/20/15
2026-08-06T12:22Z,10,code-nothink-1024+triton,1024,158.4,48.0,4.80,36.3,87/75/64/56/50/42/35/29/24/18
2026-08-06T12:22Z,10,code-think-2048+triton,2048,95.2,29.2,2.92,41.2,79/61/46/35/26/16/10/9/6/4
2026-08-06T12:56Z,5,boiler-crud-think-2048,2048,109.6,49.2,2.46,31.6,81/61/45/33/25
2026-08-06T12:56Z,5,boiler-crud-nothink-1024,1024,140.6,66.8,3.34,30.9,94/80/64/53/42
2026-08-06T12:56Z,5,boiler-sql-nothink-1024,1024,158.8,78.4,3.92,31.0,96/89/76/69/62
2026-08-06T12:59Z,10,boiler-crud-think-2048,2048,136.9,43.0,4.30,38.6,82/66/56/45/40/33/30/27/26/25
2026-08-06T12:59Z,10,boiler-crud-nothink-1024,1024,131.2,40.0,4.00,38.1,92/77/60/46/36/27/19/17/13/12
2026-08-06T12:59Z,10,boiler-sql-nothink-1024,1024,171.8,56.3,5.63,38.5,92/86/77/64/54/49/45/38/32/26
2026-08-06T13:02Z,15,boiler-crud-think-2048,2048,92.8,20.4,3.05,43.7,79/58/43/32/23/17/14/11/9/7/4/4/2/2/2
2026-08-06T13:02Z,15,boiler-crud-nothink-1024,1024,120.0,27.8,4.18,43.1,92/76/60/45/35/27/19/17/13/11/8/5/4/3/2
2026-08-06T13:02Z,15,boiler-sql-nothink-1024,1024,166.4,41.9,6.29,43.6,90/85/74/63/55/52/45/38/31/23/23/21/12/10/7
2026-08-06T15:04Z,15,struct-json-1024+ngram,1024,26.7,10.9,1.61,136.6,51/36/22/21/13/6/6/2/2/1/0/0/0/0/0
2026-08-06T15:04Z,15,struct-csv-1024+ngram,1024,102.7,75.1,10.59,120.1,78/76/72/72/70/70/70/70/69/69/69/69/69/69/69
2026-08-06T17:46Z,4,prose-think-1024+abours4,1024,94.9,41.7,1.67,28.1,74/43/29/20
2026-08-06T17:46Z,4,prose-nothink-1024+abours4,1024,82.4,32.6,1.30,28.0,66/39/17/8
2026-08-06T17:47Z,4,math-think-2048+abours4,2048,144.0,78.9,3.16,28.8,92/83/74/66
